"id","pubyear","title"
"WOS:000090067900055","2000","Comparison of several BIM for the computation of the electromagnetic wave penetration in a conductor"
"WOS:000171322000017","2001","Two fields BIM and FEM for eddy currents"
"WOS:000167868900013","2001","Dominant-negative c-Jun promotes neuronal survival by reducing BIM expression and inhibiting mitochondrial cytochrome c release"
"WOS:000185242100482","2003","The DPP IV resistant GLP-1 analogue, BIM 51077, improves diabetic control in ZDF rats."
"WOS:000186536701275","2003","Role of Epo-dependent phosphorylation/destruction of BIM in survival of erythroid cells."
"WOS:000183691400010","2003","JNK-mediated BIM phosphorylation potentiates BAX-dependent apoptosis"
"WOS:000184216000027","2003","Big buzz for BIM - Is the latest approach to A/E/C software a revolutionary one or just repackaged technology at a higher price?"
"WOS:000182690500002","2003","Elastic mesh technique for 3D BIM simulation with an application to underwater explosion bubble dynamics"
"WOS:000225073500006","2004","LEED-ing the way (Ken Sanders's article BIM isn't working yet, September 2004)"
"WOS:000220184500333","2004","Transcriptional cross-talk between activated progesterone receptor and FoxO1a regulates BIM expression in differentiating human endometrial stromal cells."
"WOS:000225960800103","2004","Inhibition of glucocorticoid-induced apoptosis by targeting the major splice variants of BIM mRNA with small interfering RNA and short hairpin RNA"
"WOS:000225127500038","2004","Survival factor stimulates ERK-dependent phosphorylation of BIM inhibiting its association with BAX and pro-apoptotic activity."
"WOS:000229952600003","2005","Beware the BIM (software manufacturers)"
"WOS:000229979900357","2005","The BH3-only protein BIM is upregulated in osteoblasts in response to dexamethasone treatment, growth factor deprivation and anoikis"
"WOS:000228455100024","2005","Brace for BIM - The arrival of building information modeling seems inevitable. Are US architects ready for a revolution?"
"WOS:000235697100013","2006","A novel procedure for the isolation of glycolipids from Bifidobacterium adolescentis 94 BIM using supercritical carbon dioxide"
"WOS:000235982900311","2006","Degradation of BIM as a mechanism for neuroprotection mediated by rapid ischemic tolerance"
"WOS:000236594300041","2006","Interrelated roles for Mcl-1 and BIM in regulation of TRAIL-mediated mitochondrial apoptosis"
"WOS:000242440001641","2006","p38-MAP kinase activation followed by BIM induction is critical for glucocorticoid-induced apoptosis in lymphoblastic leukemia cells."
"WOS:000238320100033","2006","p38-MAP kinase activation followed by BIM induction is essential for glucocorticoid-induced apoptosis in lymphoblastic leukemia cells"
"WOS:000243972404142","2007","tBID and BIM assist BAX to form large pores in bilayer membranes via different mechanisms"
"WOS:000251857900047","2007","Proapoptotic BH3-only BCL-2 family protein BIM connects death signaling from epidermal growth factor receptor inhibition to the mitochondrion"
"WOS:000249208500025","2007","Integration of STAT2 and BIM signals regulate type IIFN-induced apoptosis"
"WOS:000251100800525","2007","Pharmacologic, replacement of BIM BH3 reactivates apoptosis in hematologic cancer and lymphoproliferative disease"
"WOS:000245027400005","2007","REACH holds no fears for BIM Finland Oy"
"WOS:000243729800014","2007","Regulation of the proapoptotic BH3-only protein BIM by glucocorticoids, survival signals and proteasome in chronic lymphocytic leukemia cells"
"WOS:000247373400021","2007","The proapoptotic BCL-2 family member BIM mediates motoneuron loss in a model of amyotrophic lateral sclerosis"
"WOS:000251113600018","2007","Gefitinib-induced killing of NSCLC cell lines expressing mutant EGFR requires BIM and can be enhanced by BH3 mimetics"
"WOS:000251113600016","2007","Induction of BIM is essential for apoptosis triggered by EGFR kinase inhibitors in mutant EGFR-dependent lung adenocarcinomas"
"WOS:000253394500213","2007","Benefits of BIM in the thermal performance management"
"WOS:000247451600074","2007","The expression and regulation of BIM in osteciblasts undergoing growth factor withdrawal"
"WOS:000262104701086","2008","A Stapled BIM BH3 Helix Overcomes the MCL-1-Mediated Apoptotic Blockade of Refractory Hematologic Cancers"
"WOS:000252855600008","2008","Reed's acquisition of tectonic could accelerate BIM revolution"
"WOS:000252162300014","2008","Integrating urban GIS, CAD, and BIM data by service-based virtual 3D city models"
"WOS:000207877600010","2008","Reactions mixed as BIM issues EIS for oil shale"
"WOS:000262104700608","2008","Epigenetic Silencing of BIM Mediates Chemotherapy Resistance of Patients with Burkitt Lymphoma That Can Be Overcome by Therapeutic Reactivation of BIM in Mouse and Human Lymphoma Models"
"WOS:000259330600059","2008","Real-time simultaneous collaboration in the BIM repository"
"WOS:000254341600068","2008","Visualizing energy: How BIM influences design choices"
"WOS:000254729400036","2008","A Combination of BIM and BEM for efficiently analyzing optical elements - art. no. 662411"
"WOS:000210017600021","2008","CASE STUDIES OF BIM ADOPTION FOR PRECAST CONCRETE DESIGN BY MID-SIZED STRUCTURAL ENGINEERING FIRMS"
"WOS:000258052600005","2008","Digital construction through BIM systems will drive the re-engineering of construction business practices"
"WOS:000210017600018","2008","CASE STUDIES IN BIM IMPLEMENTATION FOR PROGRAMMING OF HEALTHCARE FACILITIES"
"WOS:000259682100012","2008","TGF beta-mediated BIM expression and apoptosis are regulated through SMAD3-dependent expression of the MAPK phosphatase MKP2"
"WOS:000253973500194","2008","Shifting the curve to the left: Student response to BIM in the classroom"
"WOS:000260212900310","2008","Development and maintenance of T-cell requires post-translational regulation of anti-apoptotic MCL-1 and pro-apoptotic BIM by IL-7"
"WOS:000259013700001","2008","Critical role for BIM in T cell receptor restimulation-induced death"
"WOS:000210017600017","2008","EDITORIAL CASE STUDIES OF BIM IN USE"
"WOS:000259352300010","2008","Oncogenic BRAF(V600E) inhibits BIM expression to promote melanoma cell survival"
"WOS:000255387400043","2008","IL-21 mediates apoptosis through up-regulation of the BH3 family member BIM and enhances both direct and antibody-dependent cellular cytotoxicity in primary chronic lymphocytic leukemia cells in vitro"
"WOS:000262104701821","2008","Targetting a Pro-Apoptotic Molecule BIM by Dexamethasone and MEK Inhibitors Synergistically Induces Apoptosis in Acute Lymphoblastic Leukemia Cells"
"WOS:000258235200069","2008","Ablation of the BH3-only protein BIM does not protect hippocampal neurons against acute excitotoxic stimuli"
"WOS:000281119901124","2009","Study on the Application of BIM Technology in Green Projects"
"WOS:000268902600646","2009","APOPTOSIS MARKERS BIM AND BCL2 MRNA TRANSCRIPTION IN PERIPHERAL BLOOD MONONUCLEAR CELLS CAN DISTINGUISH BETWEEN THE HUMAN HOST RESPONSE IN INFECTION AND SEPSIS"
"WOS:000270092400843","2009","ABSENCE OF PRO-APOPTOTIC BIM PROMOTES ACCUMULATION OF PULMONARY T-LYMPHOCYTES AND ENHANCES CLEARANCE OF PNEUMOCYSTIS CARINII IFECTION IN MICE"
"WOS:000281119901128","2009","Review of the development of BIM in USA"
"WOS:000266703300046","2009","Use of BIM and GIS to enable climatic adaptations of buildings"
"WOS:000266703300016","2009","Going BIM in a commercial world"
"WOS:000262774900001","2009","Erythropoietin-induced phosphorylation/degradation of BIM contributes to survival of erythroid cells"
"WOS:000266161300028","2009","Displacement of wild type lymphopoiesis by bone marrow cells lacking the BH3-only proteins BIM or BMF but not puma"
"WOS:000269179400015","2009","BDNF regulates BIM expression levels in 3-nitropropionic acid-treated cortical neurons"
"WOS:000267342300014","2009","CD95, BIM and T cell homeostasis"
"WOS:000270649500002","2009","Apoptosis and autophagy: BIM as a mediator of tumour cell death in response to oncogene-targeted therapeutics"
"WOS:000268267000004","2009","Impact of BIM Technology on Architects Phillip Bernstein, Vice President at Autodesk"
"WOS:000265987200010","2009","Benchmark tests for BIM data exchanges of precast concrete"
"WOS:000219981000004","2009","PROGNOSTIC VALUE OF IMMUNOHISTOCHEMICAL EXPRESSION OF VEGF, E-CADHERIN AND BIM IN RADICAL PROSTATECTOMY SPECIMENS"
"WOS:000334282200008","2009","Building Information Modeling in the Architectural Design Phases And Why Compulsory BIM Can Provoke Distress Among Architects"
"WOS:000272420600018","2009","Structure of the cell wall polysaccharides of probiotic bifidobacteria Bifidobacterimum bifidum BIM B-465"
"WOS:000268128900027","2009","Epigenetic down-regulation of BIM expression is associated with reduced optimal responses to imatinib treatment in chronic myeloid leukaemia"
"WOS:000265279300033","2009","IEX-1-induced cell death requires BIM and is modulated by MCL-1"
"WOS:000269496002234","2009","Induction of BIM Is essential for apoptosis triggered by EGFR kinase inhibitors in mutant EGFR-dependent lung adenocarcinomas"
"WOS:000266703300073","2009","Decomposition of BIM objects for scheduling and 4D simulation"
"WOS:000272725801416","2009","Chronic Lymphocytic Leukemia Apoptotic Cell Death Induced by Glucocorticoids Is Mediated by BIM and GILZ and Can Be Predicted by FKBP5 Basal Expression Levels"
"WOS:000213069500004","2010","Tool for Benchmarking BIM Performance of Design, Engineering and Construction Firms in The Netherlands"
"WOS:000296180800045","2010","Using IFC Standard to Integrate BIM Models and GIS"
"WOS:000279616300014","2010","BH3-only proteins BIM and PUMA in the regulation of survival and neuronal differentiation of newly generated cells in the adult mouse hippocampus"
"WOS:000313637300015","2010","TECHNOLOGY ADOPTION IN THE BIM IMPLEMENTATION FOR LEAN ARCHITECTURAL PRACTICE"
"WOS:000278660800011","2010","Application Takes BIM On the Go"
"WOS:000278753500009","2010","Using BIM In HVAC Design"
"WOS:000273037200004","2010","Exchange Model and Exchange Object Concepts for Implementation of National BIM Standards"
"WOS:000313637300004","2010","INTEGRATING BIM WITH SYSTEM DYNAMICS AS A DECISION-MAKING FRAMEWORK FOR SUSTAINABLE BUILDING DESIGN AND OPERATION"
"WOS:000282307100001","2010","EDITORIAL: Expanding BIM to Meet the Grand Challenges in Buildings-What is Needed?"
"WOS:000283299500024","2010","Epigenetic silencing of BIM in glucocorticoid poor-responsive pediatric acute lymphoblastic leukemia, and its reversal by histone deacetylase inhibition"
"WOS:000289662200438","2010","A Stapled BIM BH3 Helix Restores Apoptosis In Bim-Null Mantle Cell Lymphoma"
"WOS:000282418400333","2010","IL-21 induces apoptosis of splenic conventional dendritic cells through STAT3 and BIM and can be rescued by GM-CSF"
"WOS:000209823802241","2010","Prednisolone induces BIM expression in pediatric acute lymphoblastic leukemia and synergizes with BH3-mimetics GX15-070 and ABT-737"
"WOS:000208762004324","2010","Direct Activators BID & BIM Function Like Membrane Receptors for BAX & BCL-XL"
"WOS:000273366300006","2010","Understanding adoption and use of BIM as the creation of actor networks"
"WOS:000282645900021","2010","Reversion of epigenetically mediated BIM silencing overcomes chemoresistance in Burkitt lymphoma"
"WOS:000313637300016","2010","THE LIMITATIONS OF BIM IN THE ARCHITECTURAL PROCESS"
"WOS:000208675506547","2010","The proapoptotic factor BIM is necessary and sufficient for cAMP/PKA-induced apoptosis in murine S49 lymphoma cells"
"WOS:000213069500006","2010","Exchange of Relevant Information in BIM Objects Defined by the Role-and Life-Cycle Information Model"
"WOS:000281989403277","2010","Pharmacokinetic (PK) Behaviour of BIM 23A760 after Subcutaneous Administration in Healthy Volunteers and Patients with Active Acromegaly."
"WOS:000214925000012","2010","Simulation of Clinical Work Environments using BIM and Computer Gaming Technology"
"WOS:000358297400044","2010","INTEGRATION OF BIM AND GIS: THE DEVELOPMENT OF THE CITYGML GEOBIM EXTENSION"
"WOS:000278107200548","2010","LOSS OF ANTIGEN-SPECIFIC CD8(+) T CELL RESPONSES IN CHRONIC ETHANOL MICE IS ACCOMPANIED BY CD8(+) T CELL APOPTOSIS AND ALTERATIONS OF BIM EXPRESSION"
"WOS:000283299500025","2010","AICAR induces apoptosis independently of AMPK and p53 through up-regulation of the BH3-only proteins BIM and NOXA in chronic lymphocytic leukemia cells"
"WOS:000313637300020","2010","ISSUES AND IMPLEMENTATION METHODS FOR BIM IN THE CIVIL INFRASTRUCTURE DOMAIN"
"WOS:000277299700006","2010","Role for the Proapoptotic Factor BIM in Mediating Imatinib-induced Apoptosis in a c-KIT-dependent Gastrointestinal Stromal Tumor Cell Line"
"WOS:000358297400004","2010","FROM GIS TO BIM AND BACK AGAIN - A SPATIAL QUERY LANGUAGE FOR 3D BUILDING MODELS AND 3D CITY MODELS"
"WOS:000287728003231","2010","ENHANCED VISUAL CATEGORIZATION PERFORMANCES BY INCORPORATION OF SIMPLE FEATURES INTO BIM FEATURES"
"WOS:000285223900001","2010","Special Issue: The role of VR and BIM to manage the construction and design processes"
"WOS:000285223900003","2010","Understanding and facilitating BIM adoption in the AEC industry"
"WOS:000279413300002","2010","Value proposition on interoperability of BIM and collaborative working environments"
"WOS:000340629400009","2010","Utilizing 4D BIM Models in the Early Stages of Design"
"WOS:000288323500476","2011","PROAPOPTOTIC PROTEIN BIM AND ITS UPSTREAM ACTIVATOR FOXO3A ARE OVEREXPRESSED IN PRIMARY BILIARY CIRRHOSIS BUT NOT IN PRIMARY SCLEROSING CHOLANGITIS"
"WOS:000392456000016","2011","Flexibility of BIM towards Design Change"
"WOS:000288294100011","2011","Technology adoption in the BIM implementation for lean architectural practice"
"WOS:000335665500050","2011","BIM.BON . A BIM system for architectural practice in Brazil"
"WOS:000209701401223","2011","Roles of BIM induction and survivin down-regulation in lapatinib-induced apoptosis in breast cancer cells with HER2 amplification"
"WOS:000297256400105","2011","Pro-apoptotic protein BIM in apoptosis of glucocorticoid-sensitive and -resistant acute lymphoblastic leukemia CEM cells"
"WOS:000309944000026","2011","MDM AS A TOOL TO IMPROVE BIM DEVELOPMENT PROCESSES"
"WOS:000420486500025","2011","ON THE USE OF OPEN BIM AND 4D VISUALISATION IN A PREDICTIVE LIFE CYCLE MANAGEMENT SYSTEM FOR CONSTRUCTION WORKS"
"WOS:000295357500005","2011","Roles of BIM induction and survivin downregulation in lapatinib-induced apoptosis in breast cancer cells with HER2 amplification"
"WOS:000295785800015","2011","The Potential Benefits of BIM in the Further Pursuit of Biomarker Discovery in Cancer Therapeutics"
"WOS:000420486500037","2011","MODELLING ORGANIZATIONS' STRUCTURAL ADJUSTMENT TO BIM ADOPTION: A PILOT STUDY ON ESTIMATING ORGANIZATIONS"
"WOS:000289057600035","2011","PTEN Loss Confers BRAF Inhibitor Resistance to Melanoma Cells through the Suppression of BIM Expression"
"WOS:000299597102261","2011","A Common Deletion Polymorphism in the BIM Gene Contributes to Intrinsic Imatinib Resistance in Chronic Myelogenous Leukemia"
"WOS:000296206500018","2011","Structure of the Major O-Specific Polysaccharide from the Lipopolysaccharide of Pseudomonas fluorescens BIM B-582: Identification of 4-Deoxy-D-xylo-hexose As a Component of Bacterial Polysaccharides"
"WOS:000309944000027","2011","INTEGRATION OF BIM AND DSM TO IMPROVE DESIGN PROCESS IN BUILDING CONSTRUCTION PROJECTS"
"WOS:000296602100007","2011","3D Data Processing: Towards the Automated BIM in Inhabited Indoors"
"WOS:000421998700002","2011","USING BIM MODEL AND GENETIC ALGORITHMS TO OPTIMIZE THE CREW ASSIGNMENT FOR CONSTRUCTION PROJECT PLANNING"
"WOS:000297625602427","2011","INCREASED EXPRESSION OF TRANSCRIPTION FACTOR FOXO3A AND PROAPOPTOTIC PROTEIN BIM IN PRIMARY BILIARY CIRRHOSIS BUT NOT IN PRIMARY SCLEROSING CHOLANGITIS"
"WOS:000300520803060","2011","BUILDING CODE COMPLIANCE CHECKING USING BIM TECHNOLOGY"
