"id","pubyear","title"
"WOS:000310935900040","2012","The Application Of BIM In Intelligent Construction"
"WOS:000320567900064","2013","Construction of the Information Model of Ancient Architecture Components Based on BIM - A Case Study Of bracket sets"
"WOS:000329679801137","2013","Construction Project Cost Management Based on BIM Technology"
"WOS:000332232200001","2013","Enhancing Knowledge Sharing Management Using BIM Technology in Construction"
"WOS:000339411600386","2013","Construction Information Management Based on BIM Technology"
"WOS:000352079100035","2013","Construction health and safety, BIM and cloud technology"
"WOS:000352706200045","2014","Research on 3DGIS and BIM Integrated Application in Smart City Construction"
"WOS:000339531800245","2014","Application of BIM technology in green building engineering construction"
"WOS:000372317300064","2015","A BIM Platform for Offsite Timber Construction"
"WOS:000361578000004","2015","Real time progress management: Re-engineering processes for cloud-based BIM in construction"
"WOS:000376283500010","2015","Construction management and design of infrastructure. BIM and CIM. New approaches and new opportunity for the engineer of tomorrow"
"WOS:000376698600021","2016","Construction risk knowledge management in BIM using ontology and semantic web technology"
"WOS:000366766800044","2016","Construction safety risk drivers: A BIM approach"
"WOS:000383946300133","2016","Information management in the application of BIM in construction. Stages of construction"
"WOS:000384838900006","2016","CULTURE CHANGE IN CONSTRUCTION INDUSTRY: FROM 2D TOWARD BIM BASED CONSTRUCTION"
"WOS:000384838900015","2016","PEDAGOGY AND ASSESSMENT OF STUDENT LEARNING IN BIM AND SUSTAINABLE DESIGN AND CONSTRUCTION"
"WOS:000385266900059","2016","Application of BIM for Safety Management During Construction"
"WOS:000400798700006","2017","Construction of Bridges with BIM Innovative Planning Methods with many Opportunities"
"WOS:000405314300034","2017","Research on the Application of BIM Technology in Tunnel Project Construction"
"WOS:000405992100033","2017","Application Method of BIM Technology in Green Engineering Construction"
"WOS:000405993100383","2017","The Application of BIM Technology in Simulation Modeling of Concrete Dam Construction"
"WOS:000411544400090","2017","Integrating RFID and BIM technologies for mitigating risks and improving schedule performance of prefabricated house construction"
"WOS:000414664000005","2017","Spoken dialogue BIM systems - an application of big data in construction"
"WOS:000416087900214","2017","Construction of green building material management system based on BIM Technology"
